,endtime,follower_count,profile_views,impressions,reach
0,2023-06-09T07:00:00+0000,0,19,271,190
1,2023-06-08T07:00:00+0000,1,27,154,110
2,2023-06-07T07:00:00+0000,2,17,234,160
3,2023-06-06T07:00:00+0000,2,14,195,67
4,2023-06-05T07:00:00+0000,5,23,326,205
5,2023-06-04T07:00:00+0000,1,31,69,36
6,2023-06-03T07:00:00+0000,1,9,44,31
7,2023-06-02T07:00:00+0000,4,21,87,39
8,2023-06-01T07:00:00+0000,1,18,91,64
9,2023-05-31T07:00:00+0000,0,19,257,165
10,2023-05-30T07:00:00+0000,1,10,71,59
11,2023-05-29T07:00:00+0000,1,24,267,186
12,2023-05-28T07:00:00+0000,2,13,98,66
13,2023-05-27T07:00:00+0000,3,22,258,174
14,2023-05-26T07:00:00+0000,8,57,294,155
15,2023-05-25T07:00:00+0000,7,43,269,187
16,2023-05-24T07:00:00+0000,2,27,241,151
17,2023-05-23T07:00:00+0000,5,42,75,23
18,2023-05-22T07:00:00+0000,0,13,30,22
19,2023-05-21T07:00:00+0000,0,6,42,29
20,2023-05-20T07:00:00+0000,2,15,62,33
21,2023-05-19T07:00:00+0000,0,14,60,48
22,2023-05-18T07:00:00+0000,3,34,303,172
23,2023-05-17T07:00:00+0000,1,9,44,29
24,2023-05-16T07:00:00+0000,1,23,98,41
25,2023-05-15T07:00:00+0000,1,25,71,34
26,2023-05-14T07:00:00+0000,4,41,227,43
27,2023-05-13T07:00:00+0000,1,30,126,39
28,2023-05-12T07:00:00+0000,1,23,111,39
29,2023-05-11T07:00:00+0000,6,55,193,80
