,endtime,follower_count,profile_views,impressions,reach
0,2023-06-09T07:00:00+0000,0,24,154,53
1,2023-06-08T07:00:00+0000,8,55,235,73
2,2023-06-07T07:00:00+0000,6,37,190,104
3,2023-06-06T07:00:00+0000,6,42,448,231
4,2023-06-05T07:00:00+0000,9,62,450,198
5,2023-06-04T07:00:00+0000,6,72,604,227
6,2023-06-03T07:00:00+0000,9,49,263,103
7,2023-06-02T07:00:00+0000,1,14,138,77
8,2023-06-01T07:00:00+0000,4,17,255,131
9,2023-05-31T07:00:00+0000,1,18,61,34
10,2023-05-30T07:00:00+0000,0,14,91,37
11,2023-05-29T07:00:00+0000,0,6,65,50
12,2023-05-28T07:00:00+0000,1,28,274,146
13,2023-05-27T07:00:00+0000,0,15,143,93
14,2023-05-26T07:00:00+0000,3,41,321,139
15,2023-05-25T07:00:00+0000,1,21,226,128
16,2023-05-24T07:00:00+0000,1,17,84,71
17,2023-05-23T07:00:00+0000,0,32,260,136
18,2023-05-22T07:00:00+0000,1,10,35,21
19,2023-05-21T07:00:00+0000,1,9,50,21
20,2023-05-20T07:00:00+0000,2,8,28,17
21,2023-05-19T07:00:00+0000,3,19,43,18
22,2023-05-18T07:00:00+0000,8,44,159,47
23,2023-05-17T07:00:00+0000,2,20,120,65
24,2023-05-16T07:00:00+0000,3,29,339,151
25,2023-05-15T07:00:00+0000,3,35,206,62
26,2023-05-14T07:00:00+0000,7,58,382,100
27,2023-05-13T07:00:00+0000,4,20,293,166
28,2023-05-12T07:00:00+0000,6,24,197,90
29,2023-05-11T07:00:00+0000,5,52,365,127
